DNI_trabajo,d3_dni,Anio_nac
(5=1931),5,1931
(10=1935),10,1935
(26=1932),26,1932
(42=1938),42,1938
(58=1948),58,1948
(74=1935),74,1935
(90=1949),90,1949
(106=1953),106,1953
(122=1956),122,1956
(138=1960),138,1960
(154=1952),154,1952
(170=1964),170,1964
(186=1967),186,1967
(202=1968),202,1968
(218=1970),218,1970
(234=1973),234,1973
(250=1976),250,1976
(266=1978),266,1978
(282=1980),282,1980
(298=1982),298,1982
(314=1985),314,1985
(330=1987),330,1987
(344=1989),344,1989
(360=1991),360,1991
(376=1993),376,1993
(392=1995),392,1995
(408=1997),408,1997
(416=1999),416,1999
(423=2000),423,2000
(431=2001),431,2001
(439=2002),439,2002
(454=2003),454,2003
(462=2004),462,2004
(6=1931),6,1931
(11=1935),11,1935
(27=1936),27,1936
(43=1941),43,1941
(59=1948),59,1948
(75=1947),75,1947
(91=1939),91,1939
(107=1953),107,1953
(123=1958),123,1958
(139=1960),139,1960
(155=1962),155,1962
(171=1964),171,1964
(187=1967),187,1967
(203=1968),203,1968
(219=1971),219,1971
(235=1973),235,1973
(251=1976),251,1976
(267=1978),267,1978
(283=1980),283,1980
(299=1983),299,1983
(315=1985),315,1985
(331=1987),331,1987
(345=1989),345,1989
(361=1991),361,1991
(377=1993),377,1993
(393=1995),393,1995
(409=1997),409,1997
(417=1999),417,1999
(424=2000),424,2000
(432=2001),432,2001
(440=2002),440,2002
(455=2003),455,2003
(463=2004),463,2004
(7=1935),7,1935
(12=1925),12,1925
(28=1936),28,1936
(44=1943),44,1943
(60=1949),60,1949
(76=1949),76,1949
(92=1939),92,1939
(108=1953),108,1953
(124=1958),124,1958
(140=1960),140,1960
(156=1962),156,1962
(172=1965),172,1965
(188=1967),188,1967
(204=1968),204,1968
(220=1971),220,1971
(236=1973),236,1973
(252=1976),252,1976
(268=1978),268,1978
(284=1980),284,1980
(300=1983),300,1983
(316=1985),316,1985
(332=1987),332,1987
(346=1989),346,1989
(362=1991),362,1991
(378=1993),378,1993
(394=1996),394,1996
(409=1998),409,1998
(418=1999),418,1999
(425=2000),425,2000
(433=2001),433,2001
(441=2002),441,2002
(456=2003),456,2003
(464=2004),464,2004
(8=1934),8,1934
(13=1935),13,1935
(29=1933),29,1933
(45=1945),45,1945
(61=1949),61,1949
(77=1946),77,1946
(93=1939),93,1939
(109=1953),109,1953
(125=1958),125,1958
(141=1960),141,1960
(157=1937),157,1937
(173=1965),173,1965
(189=1967),189,1967
(205=1968),205,1968
(221=1971),221,1971
(237=1974),237,1974
(253=1976),253,1976
(269=1978),269,1978
(285=1981),285,1981
(301=1983),301,1983
(317=1985),317,1985
(333=1987),333,1987
(347=1989),347,1989
(363=1991),363,1991
(379=1993),379,1993
(395=1996),395,1996
(410=1998),410,1998
(419=1999),419,1999
(426=2000),426,2000
(434=2001),434,2001
(442=2002),442,2002
(457=2003),457,2003
(465=2004),465,2004
(9=1935),9,1935
(14=1938),14,1938
(30=1936),30,1936
(46=1943),46,1943
(62=1950),62,1950
(78=1949),78,1949
(94=1939),94,1939
(110=1954),110,1954
(126=1958),126,1958
(142=1960),142,1960
(158=1942),158,1942
(174=1965),174,1965
(190=1967),190,1967
(206=1969),206,1969
(222=1971),222,1971
(238=1974),238,1974
(254=1976),254,1976
(270=1979),270,1979
(286=1981),286,1981
(302=1983),302,1983
(318=1985),318,1985
(334=1987),334,1987
(348=1989),348,1989
(364=1991),364,1991
(380=1994),380,1994
(396=1996),396,1996
(411=1998),411,1998
(420=1999),420,1999
(427=2000),427,2000
(435=2001),435,2001
(443=2002),443,2002
(458=2003),458,2003
(466=2004),466,2004
(15=1934),15,1934
(31=1933),31,1933
(47=1948),47,1948
(63=1950),63,1950
(79=1946),79,1946
(96=1939),96,1939
(111=1954),111,1954
(127=1958),127,1958
(143=1961),143,1961
(159=1943),159,1943
(175=1965),175,1965
(191=1967),191,1967
(207=1969),207,1969
(223=1971),223,1971
(239=1974),239,1974
(255=1976),255,1976
(271=1979),271,1979
(287=1981),287,1981
(303=1983),303,1983
