cuit,denominacion,prevision_social,seguridad_social,jubilaciones,filtro
30670270730,CAJA DE PREVISION SOCIAL DE LA PROVINCIA DE SANTA CRUZ,1,0,0,1
30707104054,INSTITUTO DE PREVISION SOCIAL DE LA PROVINCIA DE CORRIENTES,1,0,0,1
30628014562,INSTITUTO MUNICIPAL DE PREVISION SOCIAL DE ROSARIO,1,0,0,1
30620698012,CAJA DE RETIROS JUBILACIONES Y PENSIONES DE LA POLICIA DE LA PROVINCIA DE BS AS,0,0,1,1
30633260687,CAJA DE RETIROS JUBILACIONES Y PENSIONES DE LA POLICIA FEDERAL,0,0,1,1
30999069556,INSTITUTO DE SEGURIDAD SOCIAL DEL NEUQUEN,0,1,0,1
33633178009,INSTITUTO DE PREVISION SOCIAL DE LA PCIA DE BS AS,1,0,0,1
30700056003,CAJA DE SEGURIDAD SOCIAL DE PROFESIONALES PARA LA SALUD,0,1,0,1
30618001020,CAJA DE SEGURIDAD SOCIAL PARA ESCRIBANOS DE LA PROVINCIA DE BUENOS AIRES,0,1,0,1
30681122954,CAJA DE JUBILACIONES Y PENSIONES MUNICIPAL,0,0,1,1
30661903747,CAJA DE JUBILACIONES SUBSIDIOS Y PENSIONES,0,0,1,1
30999222907,INSTITUTO DE SEGURIDAD SOCIAL Y SEGUROS DE LA PROVINCIA DEL CHUBUT,0,1,0,1
30999175461,INSTITUTO DE SEGURIDAD SOCIAL SEGUROS Y PRESTAMOS IN S S SE P,0,1,0,1
30999009952,CAJA DE PREVISION SOCIAL PARA PROFESIONALES DE LA SALUD DE LA PROVINCIA DE CBA,1,0,0,1
30999002850,CAJA DE JUBILACIONES Y PENSIONES DE LA  PROVINCIA DE SANTA FE,0,0,1,1
30638261487,CAJA DE JUBILACIONES Y PENSIONES PARA MEDICOS DE LA PROVINCIA DE SALTA,0,0,1,1
30999059380,CAJA DE PREVISION SOCIAL DE LA PROVINCIA,1,0,0,1
30999012880,CAJA DE JUBILACIONES  PENSIONES Y RETIROS DE CORDOBA,0,0,1,1
30532708059,CAJA DE PREVISION SOCIAL PARA ABOGADOS  DE LA PROVINCIA  DE BUENOS AIRES,1,0,0,1
30707884718,INSTITUTO PROVINCIAL AUTARQUICO UNIFICADO DE SEGURIDAD SOCIAL,0,1,0,1
30999168953,INSTITUTO DE SEGURIDAD SOCIAL SERVICIO DE PREVISION SOCIAL,1,1,0,2
33678365349,CAJA MUNICIPAL DE JUBILACIONES Y PENSIONES DE SANTA FE,0,0,1,1
30671208710,CAJA DE JUBILACIONES Y PENSIONES DE ENTRE RIOS,0,0,1,1
30676539227,SUPERINTENDENCIA DE ADMINISTRADORAS DE FONDOS DE JUBILACIONES Y PENSIONES,0,0,1,1
30707642382,SISTEMA DE PREVISION SOCIAL PARA EL PERSONAL DE LA MUNICIPALIDAD DE VILLA TABOSSI,1,0,0,1
30654725922,INSTITUTO MUNICIPAL DE PREVISION SOCIAL,1,0,0,1
30661918345,NACION ADMINISTRADORA DE FONDOS DE JUBILACIONES Y PENSIONES  SA,0,0,1,1
30708329467,CAJA MUNICIPAL DE JUBILACIONES Y PENSIONES PARA EL PERSONAL DE LA MUNICIPALIDAD DE VALLE MARIA,0,0,1,1
33563188699,INSTITUTO DE PREVISION SOCIAL DE LA PROVINCIA DE MISIONES,1,0,0,1
30999229316,CAJA NOTARIAL DE JUBILACIONES Y PREVI   SION SOCIAL DE LA PCIA DE CBA LEY 6494,0,0,1,1
30708631384,CAJA MUNICIPAL DE JUBILACIONES Y PENSIONES DE ALDE SAN ANTONIO,0,0,1,1
30555205887,BANCO DE PREVISION SOCIAL S A,1,0,0,1
30999179734,CAJA DE PREVISION SOCIAL DE LOS AGENTES CIVILES DEL ESTADO,1,0,0,1
30638882015,INSTITUTO MUNICIPAL DE PREVISION SOCIAL,1,0,0,1
30707863923,INSTITUTO NACIONAL DE LOS RECURSOS DE LA SEGURIDAD SOCIAL,0,1,0,1
30700169185,CAJA DE JUBILACIONES Y PENSIONES DEL PERSONAL DEL MUNICIPIO DE ARANGUREN,0,0,1,1
30700160625,CAJA DE JUBILACIONES Y PENSIONES DE VILLA URQUIZA,0,0,1,1
33637617449,ADMINISTRACION NACIONAL DE LA SEGURIDAD SOCIAL ANSES,0,1,0,1
33677324509,CONSEJO FEDERAL DE PREVISION SOCIAL  LEY 23900,1,0,0,1
30689471761,INSTITUTO MUNICIPAL DE PREVISION SOCIAL DE VENADO TUERTO,1,0,0,1
30588445352,INSTITUTO MUNICIPAL DE PREVISION SOCIAL,1,0,0,1
30999275784,INSTITUTO PROVINCIAL DE PREVISION SOCIAL,1,0,0,1
30999076064,INSTITUTO DE SEGURIDAD SOCIAL- DIRECCION DE SEGUROS,0,1,0,1
